Date,AAPL-corpbond,HD-corpbond,IBM-corpbond,NKE-corpbond,AAPL-stock,HD-stock,IBM-stock,NKE-stock
5/3/2013, 100.00 , 100.00 , 100.00 , 100.00 ,100,100,100,100
5/6/2013, 99.48 , 99.24 , 99.98 , 99.92 ,102.3845734,101.7576715,99.15408837,99.08598494
5/7/2013, 99.40 , 99.03 , 99.92 , 99.83 ,101.9290101,101.5007892,99.56974319,99.00849883
5/8/2013, 99.29 , 99.10 , 99.97 , 99.64 ,103.0801613,101.9740241,100.6210121,98.99303806
5/9/2013, 99.21 , 98.86 , 99.99 , 99.74 ,102.1808497,102.582472,99.84483989,98.74517154
5/10/2013, 98.80 , 98.03 , 99.74 , 99.11 ,101.3308054,102.7717675,100.4490805,100.3253281
5/13/2013, 98.17 , 97.67 , 99.77 , 98.04 ,101.726747,103.66412,99.46656918,100.1549337
5/14/2013, 98.30 , 97.38 , 99.67 , 98.73 ,99.2928604,104.5429921,99.83009191,102.1068883
5/15/2013, 98.02 , 97.41 , 99.77 , 97.72 ,95.93507185,105.3001458,99.88413086,101.9829813
5/16/2013, 98.17 , 98.00 , 99.84 , 98.99 ,97.21690486,103.772309,100.5571482,99.82959154
5/17/2013, 97.66 , 97.40 , 99.98 , 97.78 ,96.92160478,103.9210259,102.3993954,101.1928627
5/20/2013, 98.40 , 97.30 , 99.99 , 97.71 ,99.08479755,103.785802,101.9867554,101.208362
5/21/2013, 98.25 , 97.61 , 99.72 , 97.64 ,98.35330952,106.4223929,102.5025694,101.0534669
5/22/2013, 97.00 , 96.86 , 99.65 , 97.44 ,98.7313505,107.7473938,101.6870577,99.84508386
5/23/2013, 97.17 , 96.86 , 99.59 , 97.94 ,98.90809433,106.6927808,101.279321,98.10999712
5/24/2013, 97.88 , 97.04 , 99.59 , 97.95 ,99.58142833,106.8009461,101.0631665,97.27345066
5/28/2013, 97.17 , 96.35 , 99.36 , 95.73 ,98.75149398,107.9232075,102.0751732,98.03253905
5/29/2013, 96.31 , 95.88 , 99.27 , 95.80 ,99.53667503,107.4770059,102.1439397,97.49031502
5/30/2013, 96.51 , 95.71 , 99.27 , 96.09 ,101.0198493,107.4094066,102.8513747,97.33434362
5/31/2013, 96.42 , 95.13 , 99.29 , 96.44 ,100.6059806,106.3547936,102.1930563,96.16467556
6/3/2013, 96.29 , 95.79 , 99.30 , 95.85 ,100.827469,106.9226407,102.6499478,98.30131091
6/4/2013, 95.78 , 95.32 , 99.23 , 95.44 ,100.5120342,104.123549,101.2940588,97.91141922
6/5/2013, 95.81 , 94.96 , 99.19 , 95.92 ,99.57247626,102.0446154,99.59921939,96.30503195
6/6/2013, 95.64 , 95.71 , 99.19 , 95.56 ,98.08483563,104.9795697,100.1199653,96.94445894
6/7/2013, 95.64 , 95.67 , 99.14 , 95.22 ,98.8342649,106.990542,101.3726701,97.86460221
6/10/2013, 95.46 , 94.46 , 99.04 , 94.15 ,98.18105849,105.6182247,100.719274,98.31690841
6/11/2013, 95.38 , 94.44 , 98.84 , 94.41 ,97.89246937,105.4551565,100.2083531,96.92887197
6/12/2013, 95.33 , 94.45 , 98.93 , 94.39 ,96.68224941,103.8110415,98.84263909,95.77475933
6/13/2013, 95.94 , 94.95 , 99.04 , 94.95 ,97.52558449,103.9876738,100.1051784,96.3206084
6/14/2013, 95.87 , 95.21 , 99.18 , 95.68 ,96.20351041,104.0691771,99.33392854,96.52336526
6/17/2013, 96.29 , 94.93 , 99.15 , 95.20 ,96.63973898,103.4577515,99.74657805,96.60135622
6/18/2013, 95.64 , 94.91 , 99.09 , 95.26 ,96.58826235,104.8844517,100.6455749,96.92887197
6/19/2013, 94.72 , 94.41 , 98.96 , 92.38 ,94.62641793,103.1723992,99.20619114,96.30503195
6/20/2013, 93.93 , 92.13 , 98.57 , 92.48 ,93.24839384,100.3733311,96.95127535,94.79222961
6/21/2013, 93.55 , 92.41 , 98.41 , 91.47 ,92.50122864,100.3053461,96.02277364,94.46471386
6/24/2013, 93.70 , 91.88 , 97.86 , 90.06 ,90.04943438,99.88414228,95.07956284,93.49775358
6/25/2013, 93.00 , 91.13 , 98.05 , 90.73 ,90.06955844,100.7402057,95.78696855,94.18398006
6/26/2013, 93.58 , 91.77 , 98.32 , 91.46 ,89.04949364,102.8190966,95.72800723,96.46099283
6/27/2013, 94.22 , 92.19 , 98.40 , 92.46 ,88.0898134,103.6343712,96.11609335,97.19401178
6/28/2013, 94.46 , 92.80 , 98.64 , 92.97 ,88.70498806,105.2649221,93.88577028,99.31504614
7/1/2013, 94.52 , 93.01 , 98.70 , 94.37 ,91.54379127,104.4496838,93.96927458,97.20959876
7/2/2013, 95.11 , 93.70 , 98.67 , 93.31 ,93.61750923,105.0475073,94.07739072,97.66186639
7/3/2013, 94.89 , 93.69 , 98.60 , 93.45 ,94.13425171,105.6182247,94.93708702,98.0361676
7/5/2013, 93.78 , 92.20 , 98.35 , 93.35 ,93.37813973,106.3791512,95.7623956,99.25269474
7/8/2013, 93.90 , 91.87 , 98.25 , 92.48 ,92.84795767,107.6428101,95.78696855,99.37743259
7/9/2013, 94.01 , 92.04 , 98.40 , 92.93 ,94.4809878,108.2950181,93.97911932,99.70493432
7/10/2013, 93.71 , 92.06 , 98.60 , 91.66 ,94.1186081,107.8873926,94.44580713,99.19027322
7/11/2013, 94.61 , 93.32 , 98.78 , 91.70 ,95.58607168,108.5124218,94.71601015,99.37743259
7/12/2013, 94.65 , 93.34 , 98.84 , 91.95 ,95.41159898,109.4363912,94.35739958,99.29946267
7/15/2013, 94.62 , 93.81 , 98.78 , 92.01 ,95.61965476,109.2461695,95.30551363,98.80037803
7/16/2013, 94.93 , 94.01 , 98.83 , 92.62 ,96.23705994,109.0015743,95.23185343,97.78666033
7/17/2013, 95.41 , 94.34 , 99.02 , 92.86 ,96.26166975,109.300505,95.5757651,98.76918305
7/18/2013, 94.84 , 94.55 , 98.92 , 92.32 ,96.58603891,108.7298113,97.2657019,98.75358906
7/19/2013, 95.05 , 94.38 , 98.92 , 92.84 ,95.06263237,108.5532027,95.07956284,98.80037803
7/22/2013, 95.17 , 94.43 , 99.01 , 92.87 ,95.36687217,108.7026688,95.34974609,98.70682814
7/23/2013, 94.88 , 94.60 , 99.01 , 93.17 ,93.72935628,108.9608045,95.78696855,98.55085674
7/24/2013, 94.25 , 93.66 , 98.88 , 92.33 ,98.54345233,109.0695119,96.58775262,97.6774779
7/25/2013, 94.23 , 93.59 , 98.79 , 92.35 ,98.09383009,107.3302425,96.88740187,97.45913407
7/26/2013, 94.56 , 93.83 , 98.87 , 92.51 ,98.65083129,106.990542,96.95127535,97.52149949
7/29/2013, 94.04 , 94.00 , 98.83 , 92.39 ,100.1720214,106.8954603,96.39120917,97.8022438
7/30/2013, 93.89 , 93.75 , 98.83 , 92.19 ,101.4091012,106.8003787,96.29296645,98.02058062
7/31/2013, 94.02 , 93.33 , 98.78 , 92.48 ,101.232345,107.3846144,95.8164339,98.12975254
8/1/2013, 93.35 , 92.33 , 98.70 , 91.45 ,102.1607203,106.8546795,96.19471481,102.8865104
8/2/2013, 94.09 , 93.13 , 98.98 , 91.63 ,103.4716171,109.0152,95.87539522,103.4011855
8/5/2013, 93.55 , 92.94 , 98.99 , 91.69 ,105.0173835,108.2406952,96.04245291,103.5571499
8/6/2013, 93.45 , 92.80 , 99.37 , 91.70 ,104.0778785,108.7705701,93.82683829,103.7755148
8/7/2013, 93.67 , 93.12 , 99.12 , 91.79 ,104.0174693,107.1128751,93.09610472,102.3562448
8/8/2013, 93.86 , 93.18 , 99.00 , 91.79 ,103.8103089,108.7569917,92.78510298,103.0113008
8/9/2013, 93.94 , 93.16 , 99.05 , 92.00 ,102.3331038,107.3030985,92.73077269,103.4167865
8/12/2013, 93.94 , 93.49 , 99.12 , 92.49 ,105.2401999,107.6156423,93.35778651,103.7287083
8/13/2013, 93.08 , 91.80 , 98.71 , 92.50 ,110.2414065,107.9417408,93.02699776,102.6369716
8/14/2013, 92.69 , 92.02 , 98.79 , 91.07 ,112.2522957,105.2242013,92.58759686,100.3599658
8/15/2013, 92.12 , 91.42 , 98.64 , 90.19 ,112.1194433,102.0989747,91.72850367,99.01872186
8/16/2013, 91.64 , 90.89 , 98.51 , 89.42 ,113.1147358,102.4250858,91.50634681,99.26827119
8/19/2013, 91.66 , 90.21 , 98.52 , 88.67 ,114.3329736,102.1940689,90.95832357,100.9214229
8/20/2013, 91.95 , 90.65 , 98.60 , 89.28 ,112.8310316,100.9440058,91.12122712,100.796671
8/21/2013, 91.84 , 90.06 , 98.48 , 88.89 ,113.1214874,100.183073,91.26933488,100.0168491
8/22/2013, 91.60 , 89.93 , 98.35 , 88.90 ,113.2566162,100.5499524,91.43224863,101.1553502
8/23/2013, 92.36 , 90.73 , 98.48 , 88.91 ,112.8197607,100.4004815,91.5458029,100.141636
8/26/2013, 92.54 , 91.05 , 98.58 , 89.41 ,113.2588396,102.492987,91.21009178,99.68932982
8/27/2013, 93.00 , 91.84 , 98.64 , 90.39 ,110.0207447,100.7129716,90.22264851,97.95820819
8/28/2013, 92.67 , 91.49 , 98.69 , 89.84 ,110.5409291,101.9494864,89.93630643,98.83155899
8/29/2013, 92.94 , 92.01 , 98.64 , 90.91 ,110.7210673,101.9766542,90.17327884,99.66368459
8/30/2013, 93.26 , 92.19 , 98.67 , 90.37 ,109.7122752,101.2157861,89.99060804,98.6274664
9/3/2013, 92.50 , 90.38 , 98.60 , 89.45 ,110.0185212,100.9425833,90.82500205,100.9353726
9/4/2013, 92.08 , 90.42 , 98.42 , 89.89 ,112.2950692,101.2704109,90.41519338,102.2541687
9/5/2013, 91.36 , 89.46 , 98.13 , 89.72 ,111.5249437,99.69955671,90.9188082,102.6466722
9/6/2013, 91.46 , 89.81 , 98.40 , 88.93 ,112.1892179,99.30344699,90.36582434,102.0186953
9/9/2013, 91.77 , 89.85 , 98.32 , 89.18 ,113.9794065,100.505462,91.32858818,102.6780671
9/10/2013, 91.47 , 89.71 , 98.09 , 89.39 ,111.3831251,101.8987434,92.12843828,104.907488
9/11/2013, 91.70 , 89.76 , 98.20 , 88.87 ,105.3190078,102.4997517,94.15268491,106.1163654
9/12/2013, 91.67 , 90.07 , 98.30 , 89.35 ,106.4404152,102.9914725,94.16748134,106.8856768
9/13/2013, 91.79 , 90.04 , 98.25 , 89.53 ,104.6862363,102.5953517,94.87841833,106.6187771
9/16/2013, 91.73 , 90.05 , 98.60 , 89.12 ,101.3580696,103.18272,95.36228567,107.0583851
9/17/2013, 92.19 , 90.21 , 98.63 , 89.39 ,102.5290269,103.537856,94.87349596,107.2624602
9/18/2013, 92.34 , 90.45 , 98.57 , 90.27 ,104.6367129,105.682388,95.98933838,109.0836679
9/19/2013, 92.60 , 90.42 , 98.87 , 90.21 ,106.3525599,107.2395137,95.48077187,109.1150838
